1,29600,909.0630848798693,10,DUXntnFyZfctDzhHAoANCPVTZaMBZvJIXHcnvMPU
2,14110,906.90157209211,10,oTgoxafjKdPRjmAHbitKQppDGUgzJIbBaIoJZPzNLaK
3,7081,469.787964992532,5,fperVrPfHGeLgRCvcejJpBuLJnNQCZZrCMAobVSdSRarLSmPd
4,47843,1258.1776746801377,12,bTxLJSBuIWwuQbbsdWbOgjKnhTUTvkoVsiCcYSFBKGat
5,37651,1271.085383729085,13,sfrfrwRWiifXoKqMaWisrVQfJBBGgLkSAqbpjjpBcEeez
6,23250,1994.1238275511853,9,GGTUNPqJeZVJUaspuPOPzJPKTFzpWRCarvZYxCBBdzBWnyWKUq
7,15351,1483.656140844872,2,EmQlEnTOrolSToIIKoCGOrBGmU
8,12717,477.2080503390044,6,aKeGGUCDSqwKYqUGBVJrttQPYrQBOVRnav
9,46332,335.130041345196,5,yCByiARHLLinPUuMckODtJcaRhKxCbwrpSkaVDtDxBHUzd
10,13296,998.7277485055589,2,RYQkuxSNZsdxpmxaeYoymGpCsoHcdzfDyaLUtAXhOb
11,43757,1044.8540766124966,3,QKDbMgIwQQWVnRjEPoNmegawcQnbbeMKTlyvTZZlM
12,45927,640.8429369852403,14,TDDANqPVGRWASdpQVVHDenHNphojZhbgExmVYnpAS
13,31203,1119.9885181965424,10,fIWGUKVuaWKWGOURPHDHPYJRNosTSZbtuKOPYzDL
14,11210,539.404147779144,14,MePmMDGueuMsSgOlVnkyEwKA
15,38343,1621.4692278347372,1,QtDBPgLPTkXYFLZRcHxVLzdY
16,16026,1571.2268368707726,11,jvAssNFMfGytNwEHazysEcnJjldUJagVEsQyiIf
17,14430,1230.3866152782787,10,SgoLsSMNrHkYkDtQSVPBXxGEUxosUlhNtLZSMActrLbbWLKge
18,19392,507.5258208380868,7,wzErxqOWZJhdmIIbbBZHVfJwCYfbGxENDgR
19,32058,1788.5345548567736,2,aHDNZXNchqjeHPGZOPGsjCdOIvDZkIeSlUSGFhpCivVYz
20,9658,1576.9231567243387,6,ZWmiGUpPBPamzaKNowVFokenJmYlcGPfImWpSf
21,22753,267.8414481325785,3,CpOaHpwoYWerXsezJfKggcpQBZAPKyYGAHcrZvRGoEuOd
22,190,247.1399231001875,4,qdNSjfbVBGvKLXefWaUQDtLKCLpAJWRRxGMcmBHCuzFwsZeaJ
23,34420,1051.2572789190845,5,TZjMKDYMhlJzgMRzuCwyoinjEgvGQWwiBhcOoMUvTjsmLYDRQj
24,24444,695.5827422685566,1,PvSeMQBVMQUmLsLHNGNzGIJEtEa
25,7577,1334.4298049986182,5,rGCiEwFUUNqHVoiTluiPlulorIcF
26,38532,56.45138577939836,15,LNOZzdJiPNkWqEsbvhgmjIEDEDbzIOHsxUJNyQRvBTVVGk
27,32522,487.7633139949111,7,upWGSpnzbtQMkWjwbfvjjlmdfPQofaNhXUVtbZxKuHgd
28,17165,1251.68553714925,4,ynGCEEcrVFNeNJELodCvBCknExPxXNpt
29,11457,976.9685180689576,1,ChIexjAqQlELKNLuWOtImeCzTeqkNJWZJ
30,13059,195.33464974397015,5,DnRSMdhNebxLltyhIzzQcZconMiwtBACuqxGzyhjqaEhr
31,630,609.7233032180889,15,FGiCpBTANatcKhepogvkMYblGGbARLCDvlbsvPtcxffH
